activity,person,meta_file,terminal_positoin
0_sequence,person03011,HASC0300013.meta,pants-pocket
0_sequence,person03011,HASC0300014.meta,bag
0_sequence,person03012,HASC0300015.meta,hand
0_sequence,person03012,HASC0300016.meta,pants-pocket
0_sequence,person03012,HASC0300017.meta,bag
0_sequence,person03013,HASC0300018.meta,hand
0_sequence,person03013,HASC0300019.meta,pants-pocket
0_sequence,person03013,HASC0300020.meta,bag
0_sequence,person03014,HASC0300021.meta,hand
0_sequence,person03014,HASC0300022.meta,pants-pocket
0_sequence,person03014,HASC0300023.meta,bag
0_sequence,person03015,HASC0300024.meta,hand
0_sequence,person03015,HASC0300025.meta,pants-pocket
0_sequence,person03015,HASC0300026.meta,bag
0_sequence,person03016,HASC0300027.meta,hand
0_sequence,person03016,HASC0300028.meta,pants-pocket
0_sequence,person03017,HASC0300029.meta,hand
0_sequence,person03017,HASC0300030.meta,pants-pocket
0_sequence,person03017,HASC0300031.meta,bag
0_sequence,person03018,HASC0300032.meta,hand
0_sequence,person03019,HASC0300033.meta,hand
0_sequence,person03019,HASC0300034.meta,pants-pocket
0_sequence,person03019,HASC0300035.meta,bag
0_sequence,person03020,HASC0300036.meta,hand
0_sequence,person03020,HASC0300037.meta,pants-pocket
0_sequence,person03020,HASC0300038.meta,bag
0_sequence,person03021,HASC0300039.meta,hand
0_sequence,person03021,HASC0300040.meta,pants-pocket
0_sequence,person03021,HASC0300041.meta,bag
0_sequence,person03022,HASC0300042.meta,waist
0_sequence,person03023,HASC0300043.meta,waist
0_sequence,person03024,HASC0300044.meta,waist
0_sequence,person03025,HASC0300045.meta,waist
0_sequence,person03026,HASC0300046.meta,waist
0_sequence,person03055,HASC0300075.meta,pants-pocket
0_sequence,person03056,HASC0300076.meta,pants-pocket
0_sequence,person03057,HASC0300077.meta,pants-pocket
0_sequence,person03058,HASC0300078.meta,pants-pocket
0_sequence,person03059,HASC0300079.meta,waist
0_sequence,person03061,HASC0300081.meta,waist
0_sequence,person03062,HASC0300082.meta,waist
0_sequence,person03063,HASC0300083.meta,waist
0_sequence,person03064,HASC0300084.meta,waist
0_sequence,person03065,HASC0300085.meta,waist
0_sequence,person03071,HASC0300091.meta,chest
0_sequence,person03072,HASC0300092.meta,pants-pocket
0_sequence,person03073,HASC0300093.meta,chest
0_sequence,person03074,HASC0300094.meta,chest
0_sequence,person03075,HASC0300095.meta,chest
0_sequence,person04001,HASC0400002.meta,waist
0_sequence,person04002,HASC0400003.meta,waist
0_sequence,person04003,HASC0400004.meta,waist
0_sequence,person04004,HASC0400005.meta,waist
0_sequence,person04005,HASC0400006.meta,waist
0_sequence,person04008,HASC0400009.meta,pants-pocket
0_sequence,person04009,HASC0400010.meta,pants-pocket
0_sequence,person04010,HASC0400011.meta,hand
0_sequence,person04011,HASC0400012.meta,pants-pocket
0_sequence,person04012,HASC0400013.meta,pants-pocket
0_sequence,person04014,HASC0400015.meta,pants-pocket
0_sequence,person04016,HASC0400017.meta,pants-pocket
0_sequence,person04017,HASC0400018.meta,pants-pocket
0_sequence,person04018,HASC0400019.meta,pants-pocket
0_sequence,person04019,HASC0400020.meta,pants-pocket
0_sequence,person04020,HASC0400021.meta,pants-pocket
0_sequence,person04021,HASC0400022.meta,pants-pocket
0_sequence,person04022,HASC0400023.meta,pants-pocket
0_sequence,person04023,HASC0400024.meta,pants-pocket
0_sequence,person04026,HASC0400027.meta,hand
0_sequence,person04027,HASC0400028.meta,hand
0_sequence,person04028,HASC0400029.meta,pants-pocket
0_sequence,person04029,HASC0400030.meta,pants-pocket
0_sequence,person04031,HASC0400032.meta,pants-pocket
0_sequence,person04032,HASC0400033.meta,pants-pocket
0_sequence,person04033,HASC0400034.meta,chest
0_sequence,person04034,HASC0400035.meta,pants-pocket
0_sequence,person04035,HASC0400036.meta,pants-pocket
0_sequence,person04046,HASC0400062.meta,bag
0_sequence,person04046,HASC0400063.meta,hand
0_sequence,person04046,HASC0400064.meta,pants-pocket
0_sequence,person04046,HASC0400065.meta,pants-pocket
0_sequence,person04047,HASC0400066.meta,bag
0_sequence,person04047,HASC0400067.meta,hand
0_sequence,person04047,HASC0400068.meta,pants-pocket
0_sequence,person04047,HASC0400069.meta,pants-pocket
0_sequence,person04048,HASC0400070.meta,bag
0_sequence,person04048,HASC0400071.meta,hand
0_sequence,person04048,HASC0400072.meta,pants-pocket
0_sequence,person04048,HASC0400073.meta,pants-pocket
0_sequence,person04049,HASC0400074.meta,bag
0_sequence,person04049,HASC0400075.meta,hand
0_sequence,person04049,HASC0400076.meta,pants-pocket
0_sequence,person04049,HASC0400077.meta,pants-pocket
0_sequence,person04050,HASC0400078.meta,bag
0_sequence,person04050,HASC0400079.meta,hand
0_sequence,person04050,HASC0400080.meta,pants-pocket
0_sequence,person04050,HASC0400081.meta,pants-pocket
0_sequence,person05001,HASC0500002.meta,pants-pocket
0_sequence,person05001,HASC0500003.meta,waist
0_sequence,person05002,HASC0500004.meta,waist
0_sequence,person05003,HASC0500005.meta,chest
0_sequence,person05003,HASC0500006.meta,waist
0_sequence,person05004,HASC0500007.meta,pants-pocket
0_sequence,person05004,HASC0500008.meta,waist
0_sequence,person05005,HASC0500009.meta,waist
0_sequence,person05006,HASC0500010.meta,chest
0_sequence,person05006,HASC0500011.meta,waist
0_sequence,person05007,HASC0500012.meta,waist
0_sequence,person05008,HASC0500013.meta,waist
0_sequence,person05008,HASC0500014.meta,pants-pocket
0_sequence,person05009,HASC0500015.meta,waist
0_sequence,person05009,HASC0500016.meta,pants-pocket
0_sequence,person05010,HASC0500017.meta,pants-pocket
0_sequence,person05010,HASC0500018.meta,waist
0_sequence,person05011,HASC0500019.meta,pants-pocket
0_sequence,person05011,HASC0500020.meta,waist
0_sequence,person05012,HASC0500021.meta,chest
0_sequence,person05012,HASC0500022.meta,waist
0_sequence,person05013,HASC0500023.meta,pants-pocket
0_sequence,person05013,HASC0500024.meta,waist
0_sequence,person05014,HASC0500025.meta,hand
0_sequence,person05014,HASC0500026.meta,waist
0_sequence,person05015,HASC0500027.meta,waist
0_sequence,person05015,HASC0500028.meta,chest
0_sequence,person05016,HASC0500029.meta,waist
0_sequence,person05016,HASC0500030.meta,waist
0_sequence,person05017,HASC0500031.meta,waist
0_sequence,person05017,HASC0500032.meta,pants-pocket
0_sequence,person05018,HASC0500033.meta,waist
0_sequence,person05018,HASC0500034.meta,waist
0_sequence,person05019,HASC0500035.meta,waist
0_sequence,person05020,HASC0500036.meta,chest
0_sequence,person05020,HASC0500037.meta,waist
0_sequence,person05021,HASC0500038.meta,waist
0_sequence,person05021,HASC0500039.meta,pants-pocket
0_sequence,person05022,HASC0500040.meta,hand
0_sequence,person05022,HASC0500041.meta,waist
0_sequence,person05023,HASC0500042.meta,pants-pocket
0_sequence,person05023,HASC0500043.meta,waist
0_sequence,person05024,HASC0500044.meta,waist
0_sequence,person05024,HASC0500045.meta,pants-pocket
0_sequence,person05025,HASC0500046.meta,waist
0_sequence,person05026,HASC0500047.meta,bag
0_sequence,person05026,HASC0500048.meta,waist
0_sequence,person05027,HASC0500051.meta,pants-pocket
0_sequence,person05027,HASC0500052.meta,waist
0_sequence,person05028,HASC0500053.meta,chest
0_sequence,person05028,HASC0500054.meta,waist
0_sequence,person05029,HASC0500055.meta,waist
0_sequence,person05029,HASC0500056.meta,waist
0_sequence,person05030,HASC0500057.meta,waist
0_sequence,person05030,HASC0500058.meta,waist
0_sequence,person05031,HASC0500059.meta,waist
0_sequence,person05032,HASC0500060.meta,waist
0_sequence,person05032,HASC0500061.meta,bag
0_sequence,person05033,HASC0500062.meta,chest
0_sequence,person05033,HASC0500063.meta,waist
0_sequence,person05034,HASC0500064.meta,pants-pocket
0_sequence,person05034,HASC0500065.meta,waist
0_sequence,person05035,HASC0500066.meta,chest
0_sequence,person05035,HASC0500067.meta,waist
0_sequence,person05036,HASC0500068.meta,waist
0_sequence,person05036,HASC0500069.meta,waist
0_sequence,person05037,HASC0500070.meta,hand
0_sequence,person05037,HASC0500071.meta,waist
0_sequence,person05038,HASC0500072.meta,pants-pocket
0_sequence,person05038,HASC0500073.meta,waist
0_sequence,person05039,HASC0500074.meta,pants-pocket
0_sequence,person05039,HASC0500075.meta,waist
0_sequence,person05040,HASC0500076.meta,pants-pocket
0_sequence,person05040,HASC0500077.meta,waist
0_sequence,person05041,HASC0500078.meta,chest
0_sequence,person05041,HASC0500079.meta,waist
0_sequence,person05042,HASC0500080.meta,pants-pocket
0_sequence,person05042,HASC0500081.meta,waist
0_sequence,person05043,HASC0500082.meta,pants-pocket
0_sequence,person05043,HASC0500083.meta,waist
0_sequence,person05044,HASC0500084.meta,waist
0_sequence,person05044,HASC0500085.meta,pants-pocket
0_sequence,person05045,HASC0500086.meta,bag
0_sequence,person05045,HASC0500087.meta,waist
0_sequence,person05046,HASC0500088.meta,waist
0_sequence,person05046,HASC0500089.meta,bag
0_sequence,person05047,HASC0500090.meta,waist
0_sequence,person05047,HASC0500091.meta,waist
0_sequence,person05047,HASC0500092.meta,pants-pocket
0_sequence,person05048,HASC0500093.meta,pants-pocket
0_sequence,person05048,HASC0500094.meta,waist
0_sequence,person05049,HASC0500095.meta,chest
0_sequence,person05049,HASC0500096.meta,waist
0_sequence,person05050,HASC0500097.meta,waist
0_sequence,person05050,HASC0500098.meta,pants-pocket
0_sequence,person05051,HASC0500099.meta,waist
0_sequence,person05051,HASC0500100.meta,waist
0_sequence,person05052,HASC0500101.meta,hand
0_sequence,person05052,HASC0500102.meta,waist
0_sequence,person05053,HASC0500103.meta,hand
0_sequence,person05053,HASC0500104.meta,waist
0_sequence,person05054,HASC0500105.meta,waist
0_sequence,person05054,HASC0500106.meta,waist
0_sequence,person05055,HASC0500107.meta,waist
0_sequence,person05055,HASC0500108.meta,waist
0_sequence,person05056,HASC0500109.meta,waist
0_sequence,person05056,HASC0500110.meta,waist
0_sequence,person05057,HASC0500111.meta,bag
0_sequence,person05057,HASC0500112.meta,waist
0_sequence,person05058,HASC0500113.meta,waist
0_sequence,person05058,HASC0500114.meta,bag
0_sequence,person05059,HASC0500115.meta,pants-pocket
0_sequence,person05059,HASC0500116.meta,waist
0_sequence,person05060,HASC0500117.meta,waist
0_sequence,person05060,HASC0500118.meta,waist
0_sequence,person05061,HASC0500119.meta,waist
0_sequence,person05061,HASC0500120.meta,pants-pocket
0_sequence,person05062,HASC0500121.meta,waist
0_sequence,person05063,HASC0500122.meta,waist
0_sequence,person05064,HASC0500123.meta,bag
0_sequence,person05065,HASC0500124.meta,bag
0_sequence,person05065,HASC0500125.meta,waist
0_sequence,person05066,HASC0500126.meta,waist
0_sequence,person05067,HASC0500127.meta,bag
0_sequence,person05067,HASC0500128.meta,waist
0_sequence,person05068,HASC0500129.meta,bag
0_sequence,person05068,HASC0500130.meta,waist
0_sequence,person05069,HASC0500131.meta,pants-pocket
0_sequence,person05069,HASC0500132.meta,waist
0_sequence,person05070,HASC0500133.meta,waist
0_sequence,person05070,HASC0500134.meta,waist
0_sequence,person05071,HASC0500135.meta,bag
0_sequence,person05071,HASC0500136.meta,waist
0_sequence,person05072,HASC0500137.meta,waist
0_sequence,person05072,HASC0500138.meta,bag
0_sequence,person05073,HASC0500139.meta,bag
0_sequence,person05073,HASC0500140.meta,waist
0_sequence,person05074,HASC0500141.meta,bag
0_sequence,person05074,HASC0500142.meta,waist
0_sequence,person05075,HASC0500143.meta,waist
0_sequence,person05076,HASC0500144.meta,waist
0_sequence,person05076,HASC0500145.meta,bag
0_sequence,person05077,HASC0500146.meta,bag
0_sequence,person05077,HASC0500147.meta,waist
0_sequence,person05078,HASC0500148.meta,bag
0_sequence,person05078,HASC0500149.meta,waist
0_sequence,person05079,HASC0500150.meta,bag
0_sequence,person05079,HASC0500151.meta,waist
0_sequence,person05080,HASC0500152.meta,bag
0_sequence,person05080,HASC0500153.meta,waist
0_sequence,person05081,HASC0500154.meta,waist
0_sequence,person05081,HASC0500155.meta,bag
0_sequence,person05082,HASC0500156.meta,waist
0_sequence,person05082,HASC0500157.meta,bag
0_sequence,person05083,HASC0500158.meta,bag
0_sequence,person05083,HASC0500159.meta,waist
0_sequence,person05084,HASC0500160.meta,bag
0_sequence,person05084,HASC0500161.meta,waist
0_sequence,person05085,HASC0500162.meta,waist
0_sequence,person05085,HASC0500163.meta,bag
0_sequence,person05086,HASC0500164.meta,bag
0_sequence,person05086,HASC0500165.meta,waist
0_sequence,person05087,HASC0500166.meta,waist
0_sequence,person05087,HASC0500167.meta,bag
0_sequence,person05088,HASC0500168.meta,pants-pocket
0_sequence,person05088,HASC0500169.meta,waist
0_sequence,person05089,HASC0500170.meta,waist
0_sequence,person05090,HASC0500171.meta,waist
0_sequence,person05090,HASC0500172.meta,pants-pocket
0_sequence,person05091,HASC0500173.meta,bag
0_sequence,person05091,HASC0500174.meta,waist
0_sequence,person05092,HASC0500175.meta,pants-pocket
0_sequence,person05092,HASC0500176.meta,waist
0_sequence,person05093,HASC0500177.meta,waist
0_sequence,person05093,HASC0500178.meta,bag
0_sequence,person05094,HASC0500179.meta,waist
0_sequence,person05094,HASC0500180.meta,waist
0_sequence,person05095,HASC0500181.meta,waist
0_sequence,person05095,HASC0500182.meta,waist
0_sequence,person05096,HASC0500183.meta,bag
0_sequence,person05096,HASC0500184.meta,waist
0_sequence,person05097,HASC0500185.meta,waist
0_sequence,person05098,HASC0500186.meta,bag
0_sequence,person05098,HASC0500187.meta,waist
0_sequence,person05099,HASC0500188.meta,bag
0_sequence,person05099,HASC0500189.meta,waist
0_sequence,person05100,HASC0500190.meta,bag
0_sequence,person05100,HASC0500191.meta,waist
0_sequence,person05101,HASC0500192.meta,waist
0_sequence,person05101,HASC0500193.meta,pants-pocket
0_sequence,person05102,HASC0500194.meta,bag
0_sequence,person05102,HASC0500195.meta,waist
0_sequence,person05103,HASC0500196.meta,waist
0_sequence,person05103,HASC0500197.meta,waist
0_sequence,person05104,HASC0500198.meta,waist
0_sequence,person05104,HASC0500199.meta,bag
0_sequence,person05105,HASC0500200.meta,waist
0_sequence,person05105,HASC0500201.meta,pants-pocket
0_sequence,person05106,HASC0500202.meta,waist
0_sequence,person05106,HASC0500203.meta,bag
0_sequence,person05107,HASC0500204.meta,waist
0_sequence,person05107,HASC0500205.meta,waist
0_sequence,person06002,HASC0600003.meta,pants-pocket
0_sequence,person06002,HASC0600004.meta,waist
0_sequence,person06003,HASC0600006.meta,pants-pocket
0_sequence,person06003,HASC0600007.meta,waist
0_sequence,person06004,HASC0600009.meta,pants-pocket
0_sequence,person06004,HASC0600010.meta,waist
0_sequence,person06005,HASC0600012.meta,pants-pocket
0_sequence,person06005,HASC0600013.meta,waist
0_sequence,person06006,HASC0600015.meta,pants-pocket
0_sequence,person06006,HASC0600016.meta,waist
0_sequence,person06007,HASC0600018.meta,pants-pocket
0_sequence,person06007,HASC0600019.meta,waist
0_sequence,person06008,HASC0600021.meta,pants-pocket
0_sequence,person06008,HASC0600022.meta,waist
0_sequence,person06010,HASC0600024.meta,pants-pocket
0_sequence,person06010,HASC0600025.meta,chest
0_sequence,person06010,HASC0600026.meta,bag
0_sequence,person06010,HASC0600027.meta,bag
0_sequence,person06010,HASC0600028.meta,hand
0_sequence,person06011,HASC0600029.meta,pants-pocket
0_sequence,person06011,HASC0600030.meta,chest
0_sequence,person06011,HASC0600031.meta,bag
0_sequence,person06011,HASC0600032.meta,hand
0_sequence,person06012,HASC0600033.meta,pants-pocket
0_sequence,person06012,HASC0600034.meta,chest
0_sequence,person06012,HASC0600035.meta,bag
0_sequence,person06012,HASC0600036.meta,bag
0_sequence,person06012,HASC0600037.meta,hand
0_sequence,person06013,HASC0600038.meta,pants-pocket
0_sequence,person06013,HASC0600039.meta,chest
0_sequence,person06013,HASC0600040.meta,bag
0_sequence,person06013,HASC0600041.meta,bag
0_sequence,person06013,HASC0600042.meta,hand
0_sequence,person06013,HASC0600043.meta,pants-pocket
0_sequence,person06013,HASC0600044.meta,chest
0_sequence,person06013,HASC0600045.meta,bag
0_sequence,person06013,HASC0600046.meta,bag
0_sequence,person06013,HASC0600047.meta,hand
0_sequence,person06014,HASC0600048.meta,chest
0_sequence,person06014,HASC0600049.meta,hand
0_sequence,person06015,HASC0600050.meta,pants-pocket
0_sequence,person06015,HASC0600051.meta,chest
0_sequence,person06015,HASC0600052.meta,bag
0_sequence,person06015,HASC0600053.meta,hand
0_sequence,person06015,HASC0600054.meta,pants-pocket
0_sequence,person06015,HASC0600055.meta,chest
0_sequence,person06015,HASC0600056.meta,bag
0_sequence,person06015,HASC0600057.meta,bag
0_sequence,person06015,HASC0600058.meta,hand
0_sequence,person06028,HASC0600063.meta,pants-pocket
0_sequence,person06030,HASC0600064.meta,pants-pocket
0_sequence,person06031,HASC0600065.meta,pants-pocket
0_sequence,person06032,HASC0600066.meta,pants-pocket
0_sequence,person06033,HASC0600067.meta,pants-pocket
0_sequence,person06034,HASC0600068.meta,pants-pocket
0_sequence,person06035,HASC0600069.meta,pants-pocket
0_sequence,person06041,HASC0600070.meta,waist
0_sequence,person06042,HASC0600071.meta,waist
0_sequence,person06043,HASC0600072.meta,waist
0_sequence,person06044,HASC0600073.meta,waist
0_sequence,person06045,HASC0600074.meta,waist
1_stay,person02001,HASC0200143.meta,waist
1_stay,person02001,HASC0200144.meta,waist
1_stay,person02001,HASC0200145.meta,waist
1_stay,person02001,HASC0200146.meta,waist
1_stay,person02001,HASC0200147.meta,waist
1_stay,person02002,HASC0200148.meta,waist
1_stay,person02002,HASC0200149.meta,waist
1_stay,person02002,HASC0200150.meta,waist
1_stay,person02002,HASC0200151.meta,waist
1_stay,person02002,HASC0200152.meta,waist
1_stay,person02003,HASC0200153.meta,waist
1_stay,person02003,HASC0200154.meta,waist
1_stay,person02003,HASC0200155.meta,waist
1_stay,person02003,HASC0200156.meta,waist
1_stay,person02003,HASC0200157.meta,waist
1_stay,person02004,HASC0200158.meta,waist
1_stay,person02004,HASC0200159.meta,waist
1_stay,person02004,HASC0200160.meta,waist
1_stay,person02004,HASC0200161.meta,waist
1_stay,person02004,HASC0200162.meta,waist
1_stay,person02005,HASC0200163.meta,pants-pocket
1_stay,person02005,HASC0200164.meta,pants-pocket
1_stay,person02005,HASC0200165.meta,pants-pocket
1_stay,person02005,HASC0200166.meta,pants-pocket
1_stay,person02005,HASC0200167.meta,pants-pocket
1_stay,person02005,HASC0200168.meta,pants-pocket
1_stay,person02006,HASC0200169.meta,pants-pocket
1_stay,person02006,HASC0200170.meta,pants-pocket
1_stay,person02006,HASC0200171.meta,pants-pocket
1_stay,person02006,HASC0200172.meta,pants-pocket
1_stay,person02006,HASC0200173.meta,pants-pocket
1_stay,person02007,HASC0200175.meta,hand
1_stay,person02007,HASC0200177.meta,hand
1_stay,person02007,HASC0200178.meta,waist
1_stay,person02008,HASC0200181.meta,hand
1_stay,person02008,HASC0200182.meta,waist
1_stay,person02009,HASC0200184.meta,hand
1_stay,person02009,HASC0200186.meta,hand
1_stay,person02009,HASC0200187.meta,waist
1_stay,person02010,HASC0200189.meta,hand
1_stay,person02010,HASC0200191.meta,hand
1_stay,person02010,HASC0200192.meta,waist
1_stay,person02011,HASC0200194.meta,hand
1_stay,person02011,HASC0200196.meta,hand
1_stay,person02011,HASC0200197.meta,waist
1_stay,person02017,HASC0200223.meta,pants-pocket
1_stay,person02017,HASC0200224.meta,pants-pocket
1_stay,person02017,HASC0200225.meta,pants-pocket
1_stay,person02017,HASC0200226.meta,pants-pocket
1_stay,person02017,HASC0200227.meta,pants-pocket
1_stay,person02018,HASC0200228.meta,pants-pocket
1_stay,person02018,HASC0200229.meta,pants-pocket
1_stay,person02018,HASC0200230.meta,pants-pocket
1_stay,person02018,HASC0200231.meta,pants-pocket
1_stay,person02018,HASC0200232.meta,pants-pocket
1_stay,person02019,HASC0200233.meta,pants-pocket
1_stay,person02019,HASC0200234.meta,pants-pocket
1_stay,person02019,HASC0200235.meta,pants-pocket
1_stay,person02019,HASC0200236.meta,pants-pocket
1_stay,person02019,HASC0200237.meta,pants-pocket
1_stay,person02020,HASC0200238.meta,pants-pocket
1_stay,person02020,HASC0200239.meta,pants-pocket
1_stay,person02020,HASC0200240.meta,pants-pocket
1_stay,person02020,HASC0200241.meta,pants-pocket
1_stay,person02020,HASC0200242.meta,pants-pocket
1_stay,person02021,HASC0200243.meta,pants-pocket
1_stay,person02021,HASC0200244.meta,pants-pocket
1_stay,person02021,HASC0200245.meta,pants-pocket
1_stay,person02021,HASC0200246.meta,pants-pocket
1_stay,person02021,HASC0200247.meta,pants-pocket
1_stay,person02022,HASC0200248.meta,hand
1_stay,person02022,HASC0200249.meta,hand
1_stay,person02022,HASC0200250.meta,hand
1_stay,person02022,HASC0200251.meta,hand
1_stay,person02022,HASC0200252.meta,hand
1_stay,person02022,HASC0200253.meta,pants-pocket
1_stay,person02022,HASC0200254.meta,pants-pocket
1_stay,person02022,HASC0200255.meta,pants-pocket
1_stay,person02022,HASC0200256.meta,pants-pocket
1_stay,person02022,HASC0200257.meta,pants-pocket
1_stay,person02023,HASC0200263.meta,hand
1_stay,person02023,HASC0200264.meta,hand
1_stay,person02023,HASC0200265.meta,hand
1_stay,person02023,HASC0200266.meta,hand
1_stay,person02023,HASC0200267.meta,hand
1_stay,person02023,HASC0200268.meta,pants-pocket
1_stay,person02023,HASC0200269.meta,pants-pocket
1_stay,person02023,HASC0200270.meta,pants-pocket
1_stay,person02023,HASC0200271.meta,pants-pocket
1_stay,person02023,HASC0200272.meta,pants-pocket
1_stay,person02024,HASC0200278.meta,hand
1_stay,person02024,HASC0200279.meta,hand
1_stay,person02024,HASC0200280.meta,hand
1_stay,person02024,HASC0200281.meta,hand
1_stay,person02024,HASC0200282.meta,hand
1_stay,person02024,HASC0200283.meta,pants-pocket
1_stay,person02024,HASC0200284.meta,pants-pocket
1_stay,person02024,HASC0200285.meta,pants-pocket
1_stay,person02024,HASC0200286.meta,pants-pocket
1_stay,person02024,HASC0200287.meta,pants-pocket
1_stay,person02025,HASC0200293.meta,hand
1_stay,person02025,HASC0200294.meta,hand
1_stay,person02025,HASC0200295.meta,hand
1_stay,person02025,HASC0200296.meta,hand
1_stay,person02025,HASC0200297.meta,hand
1_stay,person02025,HASC0200298.meta,pants-pocket
1_stay,person02025,HASC0200299.meta,pants-pocket
1_stay,person02025,HASC0200300.meta,pants-pocket
1_stay,person02025,HASC0200301.meta,pants-pocket
1_stay,person02025,HASC0200302.meta,pants-pocket
1_stay,person02026,HASC0200308.meta,hand
1_stay,person02026,HASC0200309.meta,hand
1_stay,person02026,HASC0200310.meta,hand
1_stay,person02026,HASC0200311.meta,hand
1_stay,person02026,HASC0200312.meta,hand
1_stay,person02026,HASC0200313.meta,pants-pocket
1_stay,person02026,HASC0200314.meta,pants-pocket
1_stay,person02026,HASC0200315.meta,pants-pocket
1_stay,person02026,HASC0200316.meta,pants-pocket
1_stay,person02026,HASC0200317.meta,pants-pocket
1_stay,person02027,HASC0200323.meta,hand
1_stay,person02027,HASC0200324.meta,hand
1_stay,person02027,HASC0200325.meta,hand
1_stay,person02027,HASC0200326.meta,hand
1_stay,person02027,HASC0200327.meta,hand
1_stay,person02027,HASC0200328.meta,pants-pocket
1_stay,person02027,HASC0200329.meta,pants-pocket
1_stay,person02027,HASC0200330.meta,pants-pocket
1_stay,person02027,HASC0200331.meta,pants-pocket
1_stay,person02027,HASC0200332.meta,pants-pocket
1_stay,person02028,HASC0200338.meta,hand
1_stay,person02028,HASC0200339.meta,hand
1_stay,person02028,HASC0200340.meta,hand
1_stay,person02028,HASC0200341.meta,hand
1_stay,person02028,HASC0200342.meta,hand
1_stay,person02028,HASC0200343.meta,pants-pocket
1_stay,person02028,HASC0200344.meta,pants-pocket
1_stay,person02028,HASC0200345.meta,pants-pocket
1_stay,person02028,HASC0200346.meta,pants-pocket
1_stay,person02028,HASC0200347.meta,pants-pocket
1_stay,person02029,HASC0200353.meta,hand
1_stay,person02029,HASC0200354.meta,hand
1_stay,person02029,HASC0200355.meta,hand
1_stay,person02029,HASC0200356.meta,hand
1_stay,person02029,HASC0200357.meta,hand
1_stay,person02029,HASC0200358.meta,pants-pocket
1_stay,person02029,HASC0200359.meta,pants-pocket
1_stay,person02029,HASC0200360.meta,pants-pocket
1_stay,person02029,HASC0200361.meta,pants-pocket
1_stay,person02029,HASC0200362.meta,pants-pocket
1_stay,person02030,HASC0200368.meta,hand
1_stay,person02030,HASC0200369.meta,hand
1_stay,person02030,HASC0200370.meta,hand
1_stay,person02030,HASC0200371.meta,hand
